Company Name,Website,Email,Phone,Address,Category,Notes
"Smartstars Limited","https://realsmartstars.estateagentsng.com","","08107773672, 08164687733","No 57, Ebitou Ukiwe Street, Jabi, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Stallion Homes Ltd","","","+2349033471117","Stallion Homes, No 3 Edo Close Off Asajon Way Opposite Nero Bus-stop Sangotedo Eti-osa, Lagos State Nigeria., Lagos, Lagos","Developer","Nigeria Property Centre profile"
"Subway Apartment","https://subwayapartment.estateagentsng.com","","07031578039","Flat 10, Plot 543 Jahi District, Gwarimpa, Abuja, Fct North, Nigeria","Developer","Nigeria Property Centre profile"
"Suohomes","","","07025837817, 08163602700","302 Asheik Jarma Street , Gwarinpa, Select, Nigeria","Developer","Nigeria Property Centre profile"
"Teevee Integrated Company Ltd","","","07034424411, +2348077267170","No5 Gospel Light Avenue Area1 Abuja, Abuja, Federal Capital Territory, Nigeria","Developer","Nigeria Property Centre profile"
"The Brooks Africa","https://www.thebrooksafrica.com","","09115096619, 09115096619, 09115096619, 09115096619","Gujja House Augustus Aikhomu Way Utako, Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"The Cornerstone Properties Ltd","","","+2348077755970","Plot 17 Katampe District, Abuja Municipal Area Council +, Federal Capital Territory, Nigeria","Developer","Nigeria Property Centre profile"
"Tibilon Construction","","","08098327435","No 4, Santana, Oda Crescent, Wuse, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Timolas Homes Ltd","https://timolashomes.com/about-us-2/","","08028487141, 09038993408","1 Baker Street Micheal And Solomon Building Lekki Epe Express Way Abraham Adesanyan Lekki Ajah Lagos Nigeria, Lekki Ajah, Lagos, Nigeria","Developer","Nigeria Property Centre profile"
"Toux Properties Ltd","https://www.touxproperties.com","","07041111804","Suite A1, Uyk Hexahub, Balanga Crescent, Garki Area 11, Abuja, F.c.t, Nigeria","Developer","Nigeria Property Centre profile"
"Transverse Engineering Ltd","https://transverse.estateagentsng.com","","+2348104598223, +2347026781495","Suit C 94b Lungi Barracks Shopping Complex, Aso Drive, Maitama, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Trinity Works Limited","","","08063494368","New Site Estate, Lugbe, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Universal Prosperity Titles And Services Ltd","https://up.estateagentsng.com","","08056112401, 08165835762","Suite 403b, Midel Center, Gudu, Fct, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Urban Reality Com Ng Ltd","https://urbanreality/.estateagentsng.com","","08030889955, 09033593362, 08036964744","Plot 2 Clement Ojele Street, Before Post Office, General Hospital Road, Off Gado Nasko Road, Kubwa, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Villas De Paradis","","","09115965668, 08139529992","Villas De Paradis, Kukwuaba, Opposite Games Village, Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Waterfalls Realty Ltd","https://Waterfallsrealty.estateagentsng.com","","08035026480, 08053162219","Plot 458, Queens Estate, Karsana, Abuja-fct, Nigeria","Developer","Nigeria Property Centre profile"
"Wilget Engineering Ltd","","","07062116985","Amal Court Garki Abuja, Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Winners Property Subsidiary Of Zukada Investment Nig Ltd","https://winnersproperty.estateagentsng.com","","+2348038390534, +2348137196385","No. 7 Vistula Close, Off Panama, Maitama, Abuja Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Xtric Global Limited","https://xtricglobal.estateagentsng.com","","07033961121, 07033961121, 07033961121, +2347081396317","Wumba Village By Dangwani, Kabusa, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Zebedee Boulevard","https://chat.whatsapp.com/KT6i5oy39RW9wQMoHu3Ah8","","+2347012632570, 08172388285, 07085559381","No. 44, Blantyre Street, Wuse 2, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Zezi Forte Global Solutions Ltd","https://zeziforte.estateagentsng.com","","08171490669, 08084393769","Erfx 7,7 Plot 234, Konoko, Wuse 2, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Zuzlon Properties Limited","https://zuzlonproperties.com","","08147985930","Flat 2, Plot17, Areedi Place,opposite Orchid Hotels, Orchid Road, Lekki, Lagos , Nigeria","Developer","Nigeria Property Centre profile"
"01 Wealthy Heirs Realty","","","08087807211","Omoba Olukolu Street Igbo Efon 16b Agungi Lekki, Lekki, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"09053303624","","","09053303624","Infinity Estate Addo, Eti Osa, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"100 Bam Property","","","08024929320","Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"100 Properties","","","08106081711, 08024763505","Mb 26 Hse 3 Ndubuisi Kanu Street Abraham Adesanya., Lekki, Ikoyi, Victoria Island, Ajah., Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1049 Metro Asset Limited","http://www.metroasset.com.ng","","08088106096","26, Akin Leigh Crescent Lekki, Eti Osa, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"11th Real Estates","","","08183000025, 08183000025","21a, Hunponu Wusu Street, Lekki Phase 1, Lekki, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"12 Pearls Ventures","https://12pearls.estateagentsng.com","","08056378528, 07041118876","203 Igbosere Road, Lagos Island , Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"12 Street Property","","","07066939796, +2347088065738, +2347044224375","Dream World Africana Orchid Road, Eti-osa, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"12th Stone Realty","","","07035025260","Island, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"13 Realty Limited","","","08033039906, 08033039906, 07035900200","22b Idowu Taylor Street, By Engineering Close, Victoria Island, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"13 Realty Limited","","","08025207381, 08023291035, 08165070951, 31","22b Idowu Taylor Street Victoria Island Lagos, Vi, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1511 Homes","","","08160919195","8 Providence Street Lekki Phase 1, Nigeria","Estate Agent","Nigeria Property Centre profile"
"17 Three Digital Realtors","https://17threedigitalrealtors.estateagentsng.com","","08068958046","No 14b, Kasumu Street, Shangisha, Kosofe, Magodo, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1a1m Nig Ltd","","","09039199769, 09151587834, 9154166347","Opic Estate Isheri North, Opic Estate, Lagos State, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1digital Agency","","","08061330319, 07053360091","Victoria Island Lagos, Victoria Island, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1iwuno Properties Nationwide","","","+2347034892532","63, Wosilatu Street, Surulere, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1st Central Realty Limited","https://1standcentralrealty.estateagentsng.com","","07066837452","Plot 13, Taye Olowu Crescent,, Lekki Phase 1, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1st Property Hub","","","08122761391, 08034253047, 09075428145","4,ikale Street, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1st Shelters","","","08061174561, 08172009083","Plot 1115 Sauka Kehuta, New Site Federal Housing Lugbe, Fct, Abuja, Abuja, Fct, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1st Star Properties Nigeria","","","07016640999, 07026283717, 09153298863","Suite E 194 Ikota Shopping Complex, V.g.c. Lekki Ajah Lagos, Ajah, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1st Step Properties","","","08080189990, 08168062422","P 19 All Saints Community Sangotendo, Thera Annex, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"1st Step Properties","","","08080189990, 08080189990, 08168062422","P 13 All Saints Community Sangotedo, Thera Annex Estate, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"20s Homes","","","07068418494, 07062628377","49 Babatope Bajide Street Lekk1, Lagos, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"20s Homes Ltd","https://20shomesltd.estateagentsng.com","","09018094939, 09061408631, 09018094939, 09061408631","21 Ibiyinka Salvador Street Lekki 1, Lekki, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"21stcenturyrealtors","https://twentyfirstcenturyrealtor.blogspot.com","","07083315897","Beto Building, Abijo Gra, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"21stlane Empire Limited","https://21stlaneempire.com/","","+2347034161133","Lagos","Estate Agent","Nigeria Property Centre profile"
"2303 Realtor Services","","","08108988547, 07019799241","Victoria Garden Estate, Etiosa, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"245pm Property","","","08137124159, 08137124159, 09070861041","Magodo Phase 1, Magodo, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"247online Services","","","08065410991, 08065410991, 09037726211","Km 27,lekki Epe Express Way., Chisco Bustop,lekki, Lagos State, Nigeria","Estate Agent","Nigeria Property Centre profile"
"247properties","","","09036441786","Kalgary Close Ikota, Ikota, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"247propertyng","","","+2349121351068","Royal Place Estate, Awoyaya, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"247realty","","","08115419857, 08164308931","14 Port Novo Street, Aminu Kano Crescent, Abuja, Fct, Nigeria","Estate Agent","Nigeria Property Centre profile"
"247solucions","","","08136685740","F.c.t, Abuja, Nigeria","Estate Agent","Nigeria Property Centre profile"
"24comforthomes","","","08169121092","24, Bolaji Banwo Street Aguda Surulere,, Surulere Lagos, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"24crystal","","","+2348039510381","Block 22, Flat 8, Kukawa Close Area 10, Abuja, Amac, Fct, Nigeria","Estate Agent","Nigeria Property Centre profile"
"24 Crystal Support Services","","","08039510381, 07057328216","Ajose Adeogun Street, Utako, Fct, Abuja, Nigeria","Estate Agent","Nigeria Property Centre profile"
"24 Hours Homes And Properties","https://www.modernshelterng.com","","07036603496, 09071621218","Abuja, Nigeria","Estate Agent","Nigeria Property Centre profile"
"265 Enterprises","","","07052171521","Akoka, Yaba, Lagos State, Nigeria","Estate Agent","Nigeria Property Centre profile"
"2702assets","","","09038289966, 09038289966, 09038289966, 09038289966","15,buraimo Alli Lady Lak Gbagada, Gbagada, Lagos State, Nigeria","Estate Agent","Nigeria Property Centre profile"
"27th Development","","","08078436332","1a , Ibrahim Eletu Way , Osapa London, Lagos, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"2905 Inovations Limited","","","08137594502","1707, Gesse Street, Mabushi, Abuja, Nigeria","Estate Agent","Nigeria Property Centre profile"
"2984 Global Properties Limited","https://2984globalproperties.com/","","+2348106480333","Lekki, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"2amtwins Concept","","","07087960091","Dan Suleman, Ajah, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
"2d Properties","","","+2349035100164","Km 32, Lekki Epe Express Way, Igbo Efon Bus Stop Lagos, Lekki, Lagos, Nigeria","Estate Agent","Nigeria Property Centre profile"
